catalogue_entry,titles_names,catalog level,classification1,classification2,Material,description_notes,inscription/ marks,measurements,Exhibition_hall,periods,find spot,creator,ownership,collecting history,contributor_type,location,photo,Unnamed: 19,Unnamed: 20
2269,PLATE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"egg-shell porcelain, with shepherd and sheep in famille rose enamels",,Di. 20 cm,11 18C,Qing,,,"B. CURRIE, Farnborough, Hants",,private,"Hampshire, U.K.",yes,,
2270,PAIR OF PLATES,set,Ceramics,porcelain,enamel,with sprays of flowers in famille rose enamels,,Di. 37 cm,11 18C,Qing,,,"S. D. WINKWORTH, Walton-on-the-Hill, Surrey",,private,"Surrey, U.K.",yes,,
2271,BRUSH POT,item,Ceramics,porcelain,enamel,"with panels of leaves and caterpillars in enamels, on a mulberry ground",,H. 15 cm,11 18C,Qing,,,"S. D. WINKWORTH, Walton-on-the-Hill, Surrey",,private,"Surrey, U.K.",yes,,
2272,Painting in ink on paper,item,Paintings and Calligraphy,Animal and plants,plant derived materials; paper,Rocks and Camellia,,H. 113.6 cm. W. 27 cm,11 18C,Ming,,CH'ÊN HUNG-SHOU (A.D. 1599-1652),THE CHINESE GOVERNMENT,,government,China,yes,,
2273,VASE,item,Ceramics,porcelain,famille rose enamels,with decoration of birds and peonies in famille rose enamels,Mark of Yongzheng period,H. 41.9 cm,11 18C,Qing,,,"THE EARL OF ELGIN AND KINCARDINE, K.T., C.M.G., Dunfermline",,private,"Fife, U.K.",yes,,
2274,QUADRANGULAR VASE,item,Ceramics,porcelain,enamel,enamelled with landscapes and birds on branches,,H. 29.2 cm,11 18C,Qing,,,"C. E. RUSSELL, London",,private,"London, U.K.",yes,,
2275,DISH,item,Ceramics,porcelain,enamel,"with floral decoration in famille rose enamels, and a poem, green enamelled back",Blue enamel mark of Qianlong period,Di. 14.5 cm,11 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",yes,,
2276,BOWL,item,Ceramics,porcelain,ceramics; porcelain,"painted in sepia, with prunus blossom and verses",Blue enamel mark of Yongzheng period,Di. 12.5 cm,11 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",,,
2277,FLASK,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain, with flowers, birds and butterflies in famille rose enamels",Mark of Yongzheng period,H. 29.5 cm,11 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",yes,,
2278,BOTTLE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"egg-shell porcelain, decorated with a rose spray, and a butterfly in famille rose enamels",,H. 14.3 cm,11 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",yes,,
2279,SET OF FIVE MINIATURE BOTTLES,set,Ceramics,porcelain,enamel,"decorated with rocks, flowers, birds and bamboos in famille rose enamels, and with a poem",Blue enamel mark of Qianlong period,H. 9.6 cm,11 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",yes,,
2280,VASE,item,Ceramics,porcelain,ceramics; porcelain(famille rose enamels),"porcelain, painted in famille rose enamels with rock, flowers, and a poem",Blue enamel mark of Qianlong period,H. 17.5 cm,11 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",yes,,
2281,PLATE,item,Ceramics,porcelain,enamel,"with flowering prunus bough, roses and fungi, in famille rose enamels, and with a poem",Mark of Yongzheng period,Di. 29.5 cm,11 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",yes,,
2282,SAUCER DISH,item,Ceramics,porcelain,enamel,"with flowers, in famille rose enamels, edge with flower scrolls in gold ground",Mark of Yongzheng period,Di. 11.5 cm,11 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",,,
2283,BOWL,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain, with prunus, birds and a poem, in famille rose enamels",Blue enamel mark of Qianlong period,Di. 11 cm,11 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",yes,,
2284,SAUCER DISH,item,Ceramics,porcelain,enamel,"with bird and branches of prunus and magnolia, in famille rose enamels",Mark of Yongzheng period,Di. 17.5 cm,11 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",,,
2285,TEA-POT,item,Ceramics,porcelain,enamel,"rectangular, with decoration in famille rose enamels","Blue enamel mark of benediction, Period of Qianlong",H. 15.5 cm,11 18C,Qing,,,"F. P. M. SCHILLER, K.C., Betchworth, Surrey",,private,"Surrey, U.K.",yes,,
2286,BOWL,item,Ceramics,porcelain,enamel,decorated with flowers in famille rose enamel colours,,Di. 13.4 cm,11 18C,Qing,,,"MR. AND MRS. CHESTER BEATTY, London",,private,"London, U.K.",,,
2287,BOTTLE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"egg-shell porcelain, pear-shaped, decorated with a rock and flowers and a poem, in famille rose enamels",Blue enamel mark of Qianlong period,H. 14 cm,11 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",yes,,
2288,DISH,item,Ceramics,porcelain,enamel,"decorated with rocks, flowering plants, a cock and a hen in famille rose enamels, ruby back, good-wish mark in pink enamel on base",,Di. 15.5 cm,11 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",yes,,
2289,BOTTLE,item,Ceramics,porcelain,enamel,"pear-shaped, decorated with flowering plants, cock, hen and chickens in famille rose enamels, good wish mark in pink enamel on base",,H. 17.8 cm,11 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",yes,,
2290,HORIZONTAL PANEL OF PAINTED PAPER,item,Paintings and Calligraphy,,plant derived materials; paper,,,406.5 by 85 cm,VESTIBULE,Qing,,,"THE EARL OF ELGIN AND KINCARDINE, K.T., C.M.G., Dunfermline",,private,"Fife, U.K.",,,
2291,SILK TAPESTRY (k'o ssŭ),item,Textile,Furnishings,textiles; silk,Great Yü Mastering the Floods,,157.5 by 86.7 cm,VESTIBULE,Qing,,,THE CHINESE GOVERNMENT,,government,China,,,
2292,HORIZONTAL PANEL OF PAINTED PAPER,item,Paintings and Calligraphy,,plant derived materials; paper,,,406.5 by 85 cm,VESTIBULE,Qing,,,"THE EARL OF ELGIN AND KINCARDINE, K.T., C.M.G., Dunfermline",,private,"Fife, U.K.",,,
2293,FRESCO,item,Paintings and Calligraphy,Religious painting,plaster,"wall painting in colours, with Taoist figures",,165.2 by 116.9 cm,VESTIBULE,Qing,,,"SIR FREDERICK WHYTE, K.C.S.I., London",,private,"London, U.K.",yes,,
2294,Painting in colour on paper,item,Paintings and Calligraphy,Figure,plant derived materials; paper,Hsiang Fei (Emperor Ch'ien-lung's Tartar concubine) on Lake ,,,VESTIBULE,Qing,,UNKNOWN ARTIST,"S. HARCOURT SMITH, London",,private,"London, U.K.",yes,,
2295,CARPET IN FOUR PIECES,item,Textile,Others,textiles; wool,,,Av. size 122 by 269.3 cm,CENTRAL HALL,Qing,,,"SAXTON NOBLE, London",,private,"London, U.K.",,,
2296,Painting in colour on silk,item,Paintings and Calligraphy,Court Painting,textiles; silk,Portrait of the Emperor T'ai Tsung (reigned 976-996 A.D.),,H. 74 cm. W. 47 cm,CENTRAL HALL,Ming,,UNKNOWN ARTIST,THE CHINESE GOVERNMENT,,government,China,yes,,
2297,Painting in colour on silk,item,Paintings and Calligraphy,Religious painting,textiles; silk,A Lohan,,H. 103.3 cm.W. 49.1 cm,CENTRAL HALL,Song,,LI SUNG (12th century A.D.),THE CHINESE GOVERNMENT,,government,China,,,
2298,BOTTLE,item,Ceramics,porcelain,ceramics; porcelain,"porcelain, with deep red lang-yao glaze",,H. 39.8 cm,CENTRAL HALL,Qing,,,"J. PIERPONT MORGAN, New York",,private,"New York, U.S.A.",yes,,
2299,VASE,item,Ceramics,porcelain,ceramics; porcelain,"with flaring mouth, porcelain, with deep red lang-yao glaze",,H. 12 cm,CENTRAL HALL,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",yes,,
2300,INCENSE-BURNER,item,Ceramics,porcelain,ceramics; porcelain,with a deep red lang-yao glaze,,H. 11.3 cm,CENTRAL HALL,Qing,,,THE CHINESE GOVERNMENT,,government,China,,,
2301,BOTTLE,item,Ceramics,porcelain,ceramics; porcelain,with deep red glaze,,H. 37.9 cm,CENTRAL HALL,Qing,,,"F. SCHILLER, Betchworth, Surrey",,private,"Surrey, U.K.",yes,,
2302,SMALL VASE,item,Ceramics,porcelain,ceramics; porcelain,"porcelain, with deep red lang-yao glaze",,H. 10.5 cm,CENTRAL HALL,Qing,,,"F. SCHILLER, Betchworth, Surrey",,private,"Surrey, U.K.",,,
2303,BOWL,item,Ceramics,porcelain,ceramics; porcelain,with deep red lang-yao glaze,,Di. 21.6 cm,CENTRAL HALL,Qing,,,"SIR JOHN BUCHANAN-JARDINE, BT., London",,private,"London, U.K.",yes,,
2304,VASE,item,Ceramics,porcelain,ceramics; porcelain,with deep red lang-yao glaze,,H. 43.8 cm,CENTRAL HALL,Qing,,,"ARTHUR PHILLIPS, Tunbridge Wells",,private,"Kent, U.K.",,,
2305,BOWL,item,Ceramics,porcelain,ceramics; porcelain,"porcelain, with deep red lang-yao glaze",,Di. 24 cm,CENTRAL HALL,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",yes,,
2306,MINIATURE VASE,item,Ceramics,porcelain,ceramics; porcelain,"of baluster form, deep red lang-yao glaze",,H. 7.5 cm,CENTRAL HALL,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",,,
2307,SHALLOW BOWL,item,Ceramics,porcelain,ceramics; porcelain,deep red lang-yao glaze,,Di. 22.8 cm,CENTRAL HALL,Qing,,,"MRS. CHRISTIAN R. HOLMES, London",,private,"London, U.K.",yes,,
2308,VASE (kuan-yin p'ing),item,Ceramics,porcelain,ceramics; porcelain,"in shape of the bottle carried by Kuan-yin, with deep red lang-yao glaze, With a gilded copper band",,H. 20.9 cm,CENTRAL HALL,Qing,,,THE CHINESE GOVERNMENT,,government,China,,,
2309,WINE VESSEL (chih),item,Ceramics,porcelain,ceramics; porcelain,"pear-shaped, with ox-blood red lang-yao glaze",,H. 22.5 cm,CENTRAL HALL,Qing,,,THE CHINESE GOVERNMENT,,government,China,yes,,
2310,BOTTLE (pi-ch'i tsun),item,Ceramics,porcelain,ceramics; porcelain,"with body shaped like a water-chestnut, and ox-blood red lang-yao glaze, The rim is bound with a gilded copper band",,H. 38.4 cm,CENTRAL HALL,Qing,,,THE CHINESE GOVERNMENT,,government,China,,,
2311,BOTTLE,item,Ceramics,porcelain,ceramics; porcelain,"porcelain, with mottled red lang-yao glaze",,H. 22.4 cm,CENTRAL HALL,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",,,
2312,BOTTLE,item,Ceramics,porcelain,ceramics; porcelain,"porcelain, with deep red lang-yao glaze and metal rim",On the base is inscribed an Imperial poem of the Qianlong period,H. 18.5 cm,CENTRAL HALL,Qing,,,"F. ARBOUSSET, St. Brice, Charente, France",,private,France,,,
2313,CARPET,item,Textile,Furnishings,textiles; wool,,,4.20 m. square,CENTRAL HALL,Qing,,,"THE UNIVERSITY MUSEUM, University of Pennsylvania",,museum,"Pennsylvania, U.S.A.",yes,,
2314,PAGODA,item,Lacquer,Sculpture,plant derived materials; lacquer,"carved red, green and buff lacquer",,H. 108 cm,CENTRAL HALL,Qing,,,"HER MAJESTY QUEEN MARY, Buckingham Palace",,private,"London, U.K.",yes,,
2315,SET OF EIGHT FIGURES,set,Cloisonné,,metalwork; copper with enamel,bearing Buddhist Emblems,,Average H. 73 cm,CENTRAL HALL,Qing,,,"HER MAJESTY QUEEN MARY, Buckingham Palace",,private,"London, U.K.",yes,,
2316,SILK TAPESTRY (k'o ssŭ),item,Textile,Furnishings,textiles; silk,Lao Tzŭ on a Buffalo,,108.3 by 51.7 cm,CENTRAL HALL,Song,,,THE CHINESE GOVERNMENT,,government,China,,,
2317&2318,ELEPHANT,set,Cloisonné,,cloisonné enamel,"cloisonné enamel, Pair with No. 2318",,H. 75 cm,CENTRAL HALL,Qing,,,"HER MAJESTY QUEEN MARY, Buckingham Palace",,private,"London, U.K.",yes,,
2317&2318,ELEPHANT,,Cloisonné,,cloisonné enamel,"cloisonné enamel, Pair with No. 2317",,H. 75 cm,CENTRAL HALL,Qing,,,"HER MAJESTY QUEEN MARY, Buckingham Palace",,private,"London, U.K.",yes,,
2319,SILK TAPESTRY (k'o ssŭ),item,Textile,Furnishings,textiles; silk,"Rocks, Narcissi etc. (after Ts'ui Pai)",,H. 100.3 cm. W. 43.1 cm,CENTRAL HALL,Ming,,,"THE METROPOLITAN MUSEUM OF ART, New York",,museum,"New York, U.S.A.",yes,,
2320,CARPET,item,Textile,Furnishings,textiles; wool,,,412 by 460 cm,CENTRAL HALL,Qing,,,"MADAME WANNIECK, Paris",,private,"Paris, France",,,
2321,PAIR OF BOXES,set,Ceramics,porcelain,enamel,"Canton enamel, with design of quail",,W. 7 cm,CENTRAL HALL,Qing,,,"HER MAJESTY QUEEN MARY, Buckingham Palace",,private,"London, U.K.",,,
2322,VASE,item,Ceramics,porcelain,Canton enamel,"Canton enamel, with two European landscapes",,H. 22 cm,CENTRAL HALL,Qing,,,"HER MAJESTY QUEEN MARY, Buckingham Palace",,private,"London, U.K.",yes,,
2323,BOWL AND COVER,item,Jade,Utilitarian Objects,gemstones; jade,"white jade, Inset with rubies",,H. 8.2 cm. W. 14.6 cm,CENTRAL HALL,Qing,,,"HER MAJESTY QUEEN MARY, Buckingham Palace",,private,"London, U.K.",yes,,
2324,RECTANGULAR CASKET AND COVER,item,Jade,Utilitarian Objects,gemstones; jade,green jade,,H. 16 cm. W. 19.3 cm,CENTRAL HALL,Qing,,,"HER MAJESTY QUEEN MARY, Buckingham Palace",,private,"London, U.K.",yes,,SUNG DYNASTY
2325,BOX,item,Metals,,metalwork; gold,"gold, with ornamentation of turquoise",,H. 3.2 in. W. 8 in,CENTRAL HALL,Qing,,,"HER MAJESTY QUEEN MARY, Buckingham Palace",,private,"London, U.K.",yes,,
2326,CUP AND SAUCER,item,Jade,Utilitarian Objects,gemstones; jade,translucent jade,,H. 4.6 cm,CENTRAL HALL,Qing,,,"HER MAJESTY QUEEN MARY, Buckingham Palace",,private,"London, U.K.",,,
2327,TWO PERFORATED DISKS,set,Jade,Ornamental Objects,gemstones; jade,"with link, white jade",,H. 12 cm. L. 28.5 cm,CENTRAL HALL,Qing,,,"HIS MAJESTY THE KING, Windsor Castle",,private,"Berkshire, U.K.",yes,,
2328,PAIR OF ELEPHANTS,set,Lacquer,Sculpture,plant derived materials; lacquer,"on stands, carved red lacquer",,H. 26 cm,CENTRAL HALL,Qing,,,"HER MAJESTY QUEEN MARY, Buckingham Palace",,private,"London, U.K.",yes,,
2329,JU-I SCEPTRE,item,Jade,Ceremonial Objects,gemstones; jade,"white jade, with Imperial yellow silk tassel",,L. 39 cm,CENTRAL HALL,Qing,,,"HIS MAJESTY THE KING, Windsor Castle",,private,"Berkshire, U.K.",yes,,
2330,ROUND BOX,item,Ceramics,porcelain,enamel,"yellow, blue and green enamel, containing nine dishes",,Di. 34.5 cm,CENTRAL HALL,,,,"HER MAJESTY QUEEN MARY, Buckingham Palace",,private,"London, U.K.",,,
2330A,JU-I SCEPTRE,item,Jade,Ceremonial Objects,gemstones; jade,"white jade, with Imperial yellow silk tassel",,L. 36.3 cm,CENTRAL HALL,Qing,,,"HIS MAJESTY THE KING, Windsor Castle",,private,"Berkshire, U.K.",,,
2331,PAIR OF TEA CUPS AND COVERS,set,Jade,Utilitarian Objects,gemstones; jade,"lavender jade, painted with gold lacquer dragons and flowers",,Di. 9.2 cm,CENTRAL HALL,Qing,,,"HER MAJESTY QUEEN MARY, Buckingham Palace",,private,"London, U.K.",yes,,
2332,RECTANGULAR BOX AND COVER,item,Jade,Utilitarian Objects,gemstones; jade,white jade,,H. 4.3 cm. W. 7.1 cm,CENTRAL HALL,Qing,,,"HIS MAJESTY THE KING, Windsor Castle",,private,"Berkshire, U.K.",yes,,
2333,JU-I SCEPTRE,item,Jade,Ceremonial Objects,gemstones; jade,"white jade, with Imperial yellow silk tassel",,L. 46 cm,CENTRAL HALL,Qing,,,"HIS MAJESTY THE KING, Windsor Castle",,private,"Berkshire, U.K.",,,
2334,CASKET ON FOUR WHEELS,item,Lacquer,Containers,plant derived materials; lacquer,"carved red lacquer, On each of the twelve panels is a flower design emblematic of a month",,L. 46 cm,CENTRAL HALL,Qing,,,"HER MAJESTY QUEEN MARY, Buckingham Palace",,private,"London, U.K.",yes,,
2335,JU-I SCEPTRE,item,Jade,Ceremonial Objects,gemstones; jade,"white jade, with red silk tassel",,L. 45 cm,CENTRAL HALL,Qing,,,"HIS MAJESTY THE KING, Windsor Castle",,private,"Berkshire, U.K.",,,
2336,RECTANGULAR BOX AND COVER,item,Jade,Utilitarian Objects,gemstones; jade,white jade,,H. 5.4 cm. W. 6.9 cm,CENTRAL HALL,Qing,,,"HIS MAJESTY THE KING, Windsor Castle",,private,"Berkshire, U.K.",yes,,
2337,HO (wine vessel) and cover,item,Bronze,Containers,metalwork; bronze,,Inscribed,H. 21.5 cm,CENTRAL HALL,Warring States,,,THE JAPANESE IMPERIAL HOUSEHOLD,,government,Japan,yes,,
2338,SNUFF BOTTLE,item,Stones and Minerals,Utilitarian Objects,turquoise,matrix of turquoise,,H. 8 cm,CENTRAL HALL,Qing,,,"HER MAJESTY QUEEN MARY, Buckingham Palace",,private,"London, U.K.",,,
2339,PAIR OF PIERCED RECTANGULAR PLAQUES,set,Jade,Ornamental Objects,gemstones; jade,white jade,,H. 17.3 cm. W. 15.2 cm,CENTRAL HALL,Qing,,,"HIS MAJESTY THE KING, Windsor Castle",,private,"Berkshire, U.K.",yes,,
2340,PAIR OF JU-I SCEPTRES,set,Jade,Ceremonial Objects,gemstones; jade,"white jade, with Imperial yellow silk tassel",,L. 44 cm,CENTRAL HALL,Qing,,,"HIS MAJESTY THE KING, Windsor Castle",,private,"Berkshire, U.K.",,,
2341,JU-I SCEPTRE,item,Jade,Ceremonial Objects,gemstones; jade,"white jade and wood, with blue silk tassel",,L. 37.5 cm,CENTRAL HALL,Qing,,,"HIS MAJESTY THE KING, Windsor Castle",,private,"Berkshire, U.K.",,,
2342,KU (wine vessel),item,Bronze,Containers,metalwork; bronze,,,H. 32 cm,CENTRAL HALL,Shang,,,"HIS MAJESTY THE KING, Buckingham Palace","Presented to Queen Victoria by the Emperor of China, A.D. 1887",private,"London, U.K.",yes,,
2343,SMALL CARVING,item,Stones and Minerals,Sculpture,turquoise,turquoise,,H. 4.6 cm. W. 5.5 cm,CENTRAL HALL,Qing,,,"HER MAJESTY QUEEN MARY, Buckingham Palace",,private,"London, U.K.",,,
2344,PAIR OF BOWLS,set,Jade,Utilitarian Objects,gemstones; jade,white jade,,"H. 6.8 cm, Di. 15 cm",CENTRAL HALL,Qing,,,"HIS MAJESTY THE KING, Windsor Castle",,private,"Berkshire, U.K.",,,
2345,JU-I SCEPTRE,item,Jade,Ceremonial Objects,gemstones; jade,Three carved green jade plaques and the Eight Buddhist Emblems of various semi-precious stones set in gilt bronze,,L. 53 cm,CENTRAL HALL,Qing,,,"HIS MAJESTY THE KING, Windsor Castle",,private,"Berkshire, U.K.",yes,,
2346,PAIR OF JU-I SCEPTRES,set,Jade,Ceremonial Objects,gemstones; jade,"white jade, With Imperial yellow silk tassel",,H. 45.5 cm,CENTRAL HALL,Qing,,,"HIS MAJESTY THE KING, Windsor Castle",,private,"Berkshire, U.K.",,,
2347,BOWL,item,Jade,Utilitarian Objects,gemstones; jade,"with pendant rings, white jade",,H. 10.4 cm. L. 31 cm,CENTRAL HALL,Qing,,,"HIS MAJESTY THE KING, Windsor Castle",,private,"Berkshire, U.K.",yes,,
2348,Painting in colour on paper,item,Paintings and Calligraphy,Scholar painting,plant derived materials; paper,Quiet Angling by a River in Autumn,Seal of the artist at the top on the left,H. 36.6 cm. W. 28.7 cm,CENTRAL HALL,Song,,MA YÜAN (active c. A.D. 1190-1224),THE CHINESE GOVERNMENT,,government,China,yes,,
2349,VASE,item,Ceramics,porcelain,ceramics; porcelain,"of bronze form with tubular handles, porcelain, with apple-green crackled glaze",,H. 24 cm,CENTRAL HALL,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",,,
2350,VASE,item,Ceramics,porcelain,ceramics; porcelain,"porcelain, with apple-green crackled glaze",,H. 12.6 cm,CENTRAL HALL,Qing,,,"EUSTACE B. HOARE, London",,private,"London, U.K.",,,
2351,VASE,item,Ceramics,porcelain,ceramics; porcelain,"globular, porcelain, with apple-green crackled glaze",,H. 10.7 cm,CENTRAL HALL,Qing,,,"MRS. MARCUS EZEKIEL, London",,private,"London, U.K.",,,
2352,BOTTLE,item,Ceramics,porcelain,ceramics; porcelain,"porcelain, with apple-green crackled glaze",,H. 16.8 cm,CENTRAL HALL,Qing,,,"FRANK PARTRIDGE AND SONS, LTD., London",,private,"London, U.K.",,,
2353,VASE,item,Ceramics,porcelain,ceramics; porcelain,"bottle-shaped, porcelain, with apple-green crackled glaze",,H. 15.2 cm,CENTRAL HALL,Qing,,,"FRANK PARTRIDGE AND SONS, LTD., London",,private,"London, U.K.",,,
2354,BOTTLE,item,Ceramics,porcelain,ceramics; porcelain,"porcelain, with apple-green crackled glaze",,H. 17 cm,CENTRAL HALL,Qing,,,"FRANK PARTRIDGE AND SONS, LTD., London",,private,"London, U.K.",,,
2355,BULB BOWL,item,Ceramics,porcelain,ceramics; porcelain,with apple-green crackled glaze,,Di. 12.7 cm,CENTRAL HALL,Qing,,,"MR. AND MRS. ALFRED CLARK, Iver Heath, Bucks",,private,"Buckinghamshire, U.K.",,,
2356,VASE,item,Ceramics,porcelain,ceramics; porcelain,"porcelain, with apple-green crackled glaze",,H. 18 cm,CENTRAL HALL,Qing,,,"FRANK PARTRIDGE AND SONS, LTD., London",,private,"London, U.K.",,,
2357,VASE,item,Ceramics,porcelain,ceramics; porcelain,"porcelain, with apple-green crackled glaze",,H. 22.8 cm,CENTRAL HALL,Qing,,,"PARISH-WATSON, INC., New York",,private,"New York, U.S.A.",yes,,
2358,VASE,item,Ceramics,porcelain,ceramics; porcelain,"porcelain, with apple-green crackled glaze",,H. 19.6 cm,CENTRAL HALL,Qing,,,"FRANK PARTRIDGE AND SONS, LTD., London",,private,"London, U.K.",,,
2359,CARPET IN FOUR PIECES,item,Textile,Others,textiles; wool,,,Each 116.9 by 241.3 cm,CENTRAL HALL,Qing,,,"SAXTON NOBLE, London",,private,"London, U.K.",,,
2360,COLOSSAL STANDING FIGURE OF AMITĀBHA BUDDHA,item,Stones and Minerals,Sculpture,stones; marble,"marble, With inscribed lotus base",,H. 5.78 m,CENTRAL HALL,Sui and Tang,,,"C. T. LOO, New York",,private,"New York, U.S.A.",yes,,
2361,WINGED CHIMERA,item,Stones and Minerals,Sculpture,stones; stone,,,L. 152.5 cm,CENTRAL HALL,Six Dynasties,,,"C. T. LOO, Paris",,private,"Paris, France",yes,,
2362,DRAGON HEAD,item,Stones and Minerals,Sculpture,stones; stone,,,H. 49.5 cm,LECTURE ROOM,Qin and Han,,,"THE WILLIAM ROCKHILL NELSON GALLERY OF ART, Kansas City",,museum,"Kansas, U.S.A.",yes,,
2363,BUDDHIST PAINTING,item,Paintings and Calligraphy,Religious painting,,"colour on canvas, Bodhisattva",,H. 163.5 cm,LECTURE ROOM,Sui and Tang,,,"MUSÉE DU LOUVRE, Paris (Pelliot Collection)",,museum,"Paris, France",,,
2364,RELIEF,item,Stones and Minerals,Sculpture,stones; stone,,,72 by 75 in,LECTURE ROOM,Sui and Tang,,,"MUSEUM FÜR OSTASIATISCHE KUNST, Cologne",,museum,"Cologne, Germany",yes,,
2365,LONG STREAMER OF SILK,item,Textile,Furnishings,textiles; silk,"with painted musicians, in red with brown and black touches",,H. 303.5 cm,LECTURE ROOM,Sui and Tang,,,"MUSÉE DU LOUVRE, Paris (Pelliot Collection)",,museum,"Paris, France",,,
2366,VASE,item,Ceramics,porcelain,ceramics; pottery,"pottery, with pale celadon glaze",,H. 38 cm,LECTURE ROOM,Sui and Tang,,,"MAJOR-GENERAL SIR NEILL MALCOLM, K.C.B., D.S.O., London",,private,"London, U.K.",yes,,
2367,JAR AND COVER,item,Ceramics,porcelain,ceramics; pottery,"pottery, with straw-coloured glaze",,H. 19 cm,LECTURE ROOM,Sui and Tang,,,"F. P. M. SCHILLER, K.C., Betchworth, Surrey",,private,"Surrey, U.K.",,,
2368,BOTTLE,item,Ceramics,porcelain,ceramics; porcelain,"porcellanous ware, with streaked glaze",,H. 25 cm,LECTURE ROOM,Sui and Tang,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
2369,DOG,item,Ceramics,porcelain,ceramics; pottery,"pottery, with brown and green glaze",,H. 16.6 cm,LECTURE ROOM,Sui and Tang,,,"S. D. WINKWORTH, Walton-on-the-Hill, Surrey",,private,"Surrey, U.K.",yes,,
2370,FLASK,item,Ceramics,porcelain,ceramics; pottery,pottery with moulded grape-vine decorations under a brown glaze,,H. 23.9 cm,LECTURE ROOM,Sui and Tang,,,"From the LUCY MAUD BUCKINGHAM COLLECTION, Chicago",,private,"Illinois, U.S.A.",,,
2371,EWER,item,Ceramics,porcelain,ceramics; porcelain,"porcellanous ware, with brown glaze splashed with bluish-grey",,H. 26 cm,LECTURE ROOM,Sui and Tang,,,"LEIGH ASHTON, London",,private,"London, U.K.",yes,,
2372,DISH,item,Ceramics,pottery,ceramics; pottery,"of four-foil shape, pottery with moulded designs of fishes and green and yellow glaze",,W. 14 cm,LECTURE ROOM,Sui and Tang,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
2373,BOX AND COVER,item,Ceramics,pottery,ceramics; pottery,pottery with mottled green glaze,,H. 7.5 cm,LECTURE ROOM,Sui and Tang,,,THE VICTORIA AND ALBERT MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
2374,EWER,item,Ceramics,pottery,ceramics; pottery,"pottery, with applied rosette and mottled glaze",,H. 27.5 cm,LECTURE ROOM,Sui and Tang,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",,,
2375,"PILLOW, rectangular",item,Ceramics,stoneware,ceramics; stoneware,stoneware with incised designs and coloured glazes,,23 by 13 cm,LECTURE ROOM,Sui and Tang,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
2376,EWER,item,Ceramics,pottery,ceramics; pottery,"with phoenix head, pottery with applied reliefs and mottled glaze",,H. 28.5 cm,LECTURE ROOM,Sui and Tang,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
2377,BOX,item,Ceramics,pottery,ceramics; pottery,"pottery, with mottled glaze of green, yellow and white",,Di. 9.4 cm,LECTURE ROOM,Sui and Tang,,,"H. J. OPPENHEIM, London",,private,"London, U.K.",yes,,
2378,DISH,item,Ceramics,stoneware,ceramics; stoneware,"red stoneware, white slip and incised ornament under cream glaze mottled with green,",,L. 40.5 cm,LECTURE ROOM,Sui and Tang,Excavated at Samarra,,"THE GERMAN STATE MUSEUMS, Berlin",,museum,"Berlin, Germany",yes,,
2379,BUDDHIST PAINTING,item,Paintings and Calligraphy,Religious painting,textiles; silk,"in colour on silk, Kuan-yin",,H. 104 cm. W. 63 cm,LECTURE ROOM,Yuan,From Khara Khoto,,THE GOVERNMENT OF THE SOVIET UNION,,government,Russia,yes,,
