catalogue_entry,titles_names,catalog level,classification1,classification2,Material,description_notes,inscription/ marks,measurements,Exhibition_hall,periods,find spot,creator,ownership,collecting history,contributor_type,location,photo,Unnamed: 19,Unnamed: 20
61,LI (caldron),item,Bronze,Containers,metalwork; bronze,Dragon design,,H 13cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,"Hsin-chêng, Honan Province, chêng State",,"THE CHINESE GOVERNMENT, Honan Provincial Museum",,government,"Henan, China",,,
62,CHUNG (bell),item,Bronze,Musical Instruments,metalwork; bronze,Small example from set of twenty-one,,H 30 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,"Hsin-chêng, Honan Province, chêng State",,"THE CHINESE GOVERNMENT, Honan Provincial Museum",,government,"Henan, China",,,
63,TSU (chopping table),item,Bronze,Tools,metalwork; bronze,,,H 18.6cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,"Shou Hsien , Ch‘u State",,"THE CHINESE GOVERNMENT, Anhui Provincial Library",,government,"Anhui, China",yes,,
64,TING (caldron) with spout,item,Bronze,Containers,metalwork; bronze,,Inscribed,H 38.5 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,"Shou Hsien , Ch‘u State",,"THE CHINESE GOVERNMENT, Anhui Provincial Library",,government,"Anhui, China",,,
65,HU (wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H58.5cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,THE CHINESE GOVERNMENT,,government,China,,,
66,PO (bell),item,Bronze,Musical Instruments,metalwork; bronze,,,H 58 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,THE CHINESE GOVERNMENT,,government,China,yes,,
67,HU (wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H48.4 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,THE CHINESE GOVERNMENT,,government,China,,,
68,CHUNG (bell),item,Bronze,Musical Instruments,metalwork; bronze,,Inscribed,H 37cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,Jui  State,,THE CHINESE GOVERNMENT,,government,China,yes,,
69,I (ewer),item,Bronze,Containers,metalwork; bronze,,Inscribed,H17.3cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,Ch'ên State,,THE CHINESE GOVERNMENT,,government,China,,,
70,TUI (food vessel),item,Bronze,Containers,metalwork; bronze,Cover missing,inscribed,H 10.6 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,Ch‘i State,,THE CHINESE GOVERNMENT,,government,China,,,
71,HU (wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H41.2 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,Tsêng State,,THE CHINESE GOVERNMENT,,government,China,,,
72,KUEI (food vessel),item,Bronze,Containers,metalwork; bronze,inlaid with gold and silver,Inscribed,H15 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,THE CHINESE GOVERNMENT,,government,China,,,
73,HSÜ (food vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H 17 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,THE CHINESE GOVERNMENT,,government,China,,,
74,HU (wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H 47.7 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,THE CHINESE GOVERNMENT,,government,China,yes,,
75,PO (bell),item,Bronze,Musical Instruments,metalwork; bronze,,,H 55 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,THE CHINESE GOVERNMENT,,government,China,yes,,
76,PO (bell),item,Bronze,Musical Instruments,metalwork; bronze,,,H 57.1 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,THE CHINESE GOVERNMENT,,government,China,,,
